"id","path","name","type","category_raw","ext","bucket","well","tags","event_key","record_id","ext_norm"
"4112a10b246766d9b21fcb1027f892feca9338b6","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1 A/15-9-F-1 A_CompletionLog.pdf","15-9-F-1 A_CompletionLog.pdf","file","well_data","pdf","Completion_Workover","15/9-F-1A","COMPLETION","15 9 f 1 a completionlog","15/9-F-1A|Completion_Workover|15 9 f 1 a completionlog","pdf"
"33083b52afe787324e2d587dc9e4674fe44e6390","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1 A/COMPLETION_REPORT_1.PDF","COMPLETION_REPORT_1.PDF","file","well_data","pdf","Completion_Workover","15/9-F-1A","COMPLETION","completion report 1","15/9-F-1A|Completion_Workover|completion report 1","pdf"
"1845c9ddba0b9a6dcb71e15d6678524e86637cb4","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1 B/15-9-F-1 B_CompletionLog.pdf","15-9-F-1 B_CompletionLog.pdf","file","well_data","pdf","Completion_Workover","15/9-F-1B","COMPLETION","15 9 f 1 b completionlog","15/9-F-1B|Completion_Workover|15 9 f 1 b completionlog","pdf"
"04a512ccadc22ba7744d5464d053f6a1c9f46588","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1 B/15-9-F-1 B_FWR Completion.pdf","15-9-F-1 B_FWR Completion.pdf","file","well_data","pdf","Completion_Workover","15/9-F-1B","COMPLETION","15 9 f 1 b fwr completion","15/9-F-1B|Completion_Workover|15 9 f 1 b fwr completion","pdf"
"5010e1cb29f8af4f5be1dd5af047c4cd971d67e2","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1 B/COMPLETION_REPORT_1.PDF","COMPLETION_REPORT_1.PDF","file","well_data","pdf","Completion_Workover","15/9-F-1B","COMPLETION","completion report 1","15/9-F-1B|Completion_Workover|completion report 1","pdf"
"0900bef45b53b2cbadb37254dcff15807cd3fc5c","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1 C/COMPLETION_REPORT_1.PDF","COMPLETION_REPORT_1.PDF","file","well_data","pdf","Completion_Workover","15/9-F-1C","COMPLETION","completion report 1","15/9-F-1C|Completion_Workover|completion report 1","pdf"
"a0c36f05da677b399fa973ea1e244c1bf3c853cf","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1 C/COMPLETION_REPORT_2.PDF","COMPLETION_REPORT_2.PDF","file","well_data","pdf","Completion_Workover","15/9-F-1C","COMPLETION","completion report 2","15/9-F-1C|Completion_Workover|completion report 2","pdf"
"c6efa92674776f40dd356d4503b7158dfa13b08e","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-1/15-9-F-1_CompletionLog.pdf","15-9-F-1_CompletionLog.pdf","file","well_data","pdf","Completion_Workover","15/9-F-1","COMPLETION","15 9 f 1 completionlog","15/9-F-1|Completion_Workover|15 9 f 1 completionlog","pdf"
"6f2332e23c4832f9fe82fa883f069cbfb83a158a","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 A/15-9-F-11 A_Completion log.pdf","15-9-F-11 A_Completion log.pdf","file","well_data","pdf","Completion_Workover","15/9-F-11A","COMPLETION","15 9 f 11 a completion log","15/9-F-11A|Completion_Workover|15 9 f 11 a completion log","pdf"
"58359b8169bd9099dd4924703ed3c53e472aabc2","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 A/COMPLETION_REPORT_1.PDF","COMPLETION_REPORT_1.PDF","file","well_data","pdf","Completion_Workover","15/9-F-11A","COMPLETION","completion report 1","15/9-F-11A|Completion_Workover|completion report 1","pdf"
"613632efb97e36a22dfaf3c9f4a5817903509895","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 A/COMPLETION_REPORT_2.PDF","COMPLETION_REPORT_2.PDF","file","well_data","pdf","Completion_Workover","15/9-F-11A","COMPLETION","completion report 2","15/9-F-11A|Completion_Workover|completion report 2","pdf"
"3e03bef7c52ecdaddb8b279752a52cadd60defd4","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 B/15-9-F-11 B_Completion log.pdf","15-9-F-11 B_Completion log.pdf","file","well_data","pdf","Completion_Workover","15/9-F-11B","COMPLETION","15 9 f 11 b completion log","15/9-F-11B|Completion_Workover|15 9 f 11 b completion log","pdf"
"bb7cfe89fc83bac9ee662ca23dfcf11e8c6857fa","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 B/COMPLETION_REPORT_1.PDF","COMPLETION_REPORT_1.PDF","file","well_data","pdf","Completion_Workover","15/9-F-11B","COMPLETION","completion report 1","15/9-F-11B|Completion_Workover|completion report 1","pdf"
"ad98a37902b5f5207c9ec76c9d7794f1d48b4fdd","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 B/COMPLETION_REPORT_2.PDF","COMPLETION_REPORT_2.PDF","file","well_data","pdf","Completion_Workover","15/9-F-11B","COMPLETION","completion report 2","15/9-F-11B|Completion_Workover|completion report 2","pdf"
"979b1e29cb57bfe152191b06222ea8a680733e62","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 B/COMPLETION_REPORT_3.PDF","COMPLETION_REPORT_3.PDF","file","well_data","pdf","Completion_Workover","15/9-F-11B","COMPLETION","completion report 3","15/9-F-11B|Completion_Workover|completion report 3","pdf"
"a0b1545a95d0a34d3668fb399fa7f248b5c30e7b","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/14.DIV. REPORTS/15_9-F-11 T2/15-9-F-11 T2_Completion log.pdf","15-9-F-11 T2_Completion log.pdf","file","well_data","pdf","Completion_Workover","15/9-F-11T2","COMPLETION","15 9 f 11 t2 completion log","15/9-F-11T2|Completion_Workover|15 9 f 11 t2 completion log","pdf"
