"id","path","name","type","category_raw","ext","bucket","well","tags","event_key","record_id","ext_norm"
"bfc2cc722c32ef102e9051ba5394b87f94778993","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/15-9-19-A_Thin_section_micro_photograph_15_9-19A.pdf","15-9-19-A_Thin_section_micro_photograph_15_9-19A.pdf","file","well_data","pdf","Well_Logs_Wireline","15/9-19A","CORE","15 9 19 a thin section micro photograph 15 9 19a","15/9-19A|Well_Logs_Wireline|15 9 19 a thin section micro photograph 15 9 19a","pdf"
"a303ffbab0aac6ec52b7d37158cdee15da5f44ab","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/15-9-19_A_0035.pdf","15-9-19_A_0035.pdf","file","well_data","pdf","Well_Logs_Wireline","15/9-19A","CORE","15 9 19 a 0035","15/9-19A|Well_Logs_Wireline|15 9 19 a 0035","pdf"
"4532757b22d2211454f401e557239e7a6a853d1a","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/15-9-19a-core.pdf","15-9-19a-core.pdf","file","well_data","pdf","Well_Logs_Wireline","15/9-19A","CORE","15 9 19a core","15/9-19A|Well_Logs_Wireline|15 9 19a core","pdf"
"b5c34c8ebb63b8e9d89a4c508d82926bb826ae9e","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/15919A.SPW","15919A.SPW","file","well_data","spw","Well_Logs_Wireline","15/9-19A","CORE","15919a.spw","15/9-19A|Well_Logs_Wireline|15919a.spw","spw"
"16f294b4d3b1a1ac00946d5549bc8c18aa3a98cb","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/15919A.XLS","15919A.XLS","file","well_data","xls","Well_Logs_Wireline","15/9-19A","CORE","15919a.xls","15/9-19A|Well_Logs_Wireline|15919a.xls","xls"
"54bff08b4157eb03c796570cf08aea619fb1a017","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/15_9-19 A_core shift.xlsx","15_9-19 A_core shift.xlsx","file","well_data","xlsx","Well_Logs_Wireline","15/9-19A","CORE","15 9 19 a core shift.xlsx","15/9-19A|Well_Logs_Wireline|15 9 19 a core shift.xlsx","xlsx"
"27acca6c3ab88cdc7463ced9c6eb8e32098746c0","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/15_9_19A_o_w_relp.xls","15_9_19A_o_w_relp.xls","file","well_data","xls","Well_Logs_Wireline","15/9-19A","CORE","15 9 19a o w relp.xls","15/9-19A|Well_Logs_Wireline|15 9 19a o w relp.xls","xls"
"da6503ab2d214eff85b9b11415a946ff8030540d","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/Core Photos on NPD pages.url","Core Photos on NPD pages.url","file","well_data","url","Well_Logs_Wireline","15/9-19A","CORE","core photos on npd pages.url","15/9-19A|Well_Logs_Wireline|core photos on npd pages.url","url"
"20ad99d0c4cc21efedb1672313227f844de54902","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/Rock Mechanical Testing Triaxial tests on sandstone Well 15-9-19 A.pdf","Rock Mechanical Testing Triaxial tests on sandstone Well 15-9-19 A.pdf","file","well_data","pdf","Well_Logs_Wireline","15/9-19A","CORE","rock mechanical testing triaxial tests on sandstone well 15 9 19 a","15/9-19A|Well_Logs_Wireline|rock mechanical testing triaxial tests on sandstone well 15 9 19 a","pdf"
"a230ae1bd11c839c691a17ac2f6fbf62f2020cee","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/T17701.LOG","T17701.LOG","file","well_data","log","Well_Logs_Wireline","15/9-19A","CORE","t17701.log","15/9-19A|Well_Logs_Wireline|t17701.log","log"
"49fe87753dc5597166a98093e7635879687638a5","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/T17702.LOG","T17702.LOG","file","well_data","log","Well_Logs_Wireline","15/9-19A","CORE","t17702.log","15/9-19A|Well_Logs_Wireline|t17702.log","log"
"9b409b572ff5ce594c0f12d2f1fd894c7f0dcfd2","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/T17703.LOG","T17703.LOG","file","well_data","log","Well_Logs_Wireline","15/9-19A","CORE","t17703.log","15/9-19A|Well_Logs_Wireline|t17703.log","log"
"62ed8aa3fe17f0e1918e42c8f2a97553d46b5f58","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/T17704.LOG","T17704.LOG","file","well_data","log","Well_Logs_Wireline","15/9-19A","CORE","t17704.log","15/9-19A|Well_Logs_Wireline|t17704.log","log"
"abff46f23faa26d74dd1f8af379cc2e4c71b24bc","dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/09.CORE/15_9-19 A/T17705.LOG","T17705.LOG","file","well_data","log","Well_Logs_Wireline","15/9-19A","CORE","t17705.log","15/9-19A|Well_Logs_Wireline|t17705.log","log"
