well,events,unique_buckets,bucket_list
15/9-F-15,2404,7,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-F-1,2204,7,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-F-11,1420,7,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-F-12,965,9,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Integrity_Logs_CBL_USIT|Other_Field_Data|Production_Logs_PLT_RST|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-F-14,863,8,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Production_Logs_PLT_RST|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-F-5,710,8,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Production_Logs_PLT_RST|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-F-4,377,8,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Production_Logs_PLT_RST|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-19A,370,5,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-19ST,254,1,Daily_Drilling_Reports
15/9-F-11T2,198,3,Completion_Workover|Drilling_LWD_MWD|Well_Logs_Wireline
15/9-F-10,195,7,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-F-1C,189,5,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-11B,172,6,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Integrity_Logs_CBL_USIT|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-15A,169,5,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|WITSML_Realtime|Well_Logs_Wireline
15/9-F-15C,161,5,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-15D,157,5,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-1B,153,5,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-9,146,7,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-19B&BT2,128,4,Completion_Workover|Drilling_LWD_MWD|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-7,126,7,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Other_Field_Data|Reports_General|WITSML_Realtime|Well_Logs_Wireline
15/9-19BT,124,1,Daily_Drilling_Reports
15/9-19S,98,1,Daily_Drilling_Reports
15/9-F-11A,93,4,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Well_Logs_Wireline
15/9-19S&SR,79,4,Completion_Workover|Drilling_LWD_MWD|Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-1A,77,4,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Well_Logs_Wireline
15/9-F-9A,66,4,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|Well_Logs_Wireline
15/9-F-15B,62,5,Completion_Workover|Daily_Drilling_Reports|Drilling_LWD_MWD|WITSML_Realtime|Well_Logs_Wireline
15/9-19B,54,1,Daily_Drilling_Reports
15/9-19SR,31,2,Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-19BT2,28,2,Production_Logs_PLT_RST|Well_Logs_Wireline
15/9-F-13,11,2,Other_Field_Data|Reports_General
15/9-F-2,10,2,Other_Field_Data|Reports_General
15/9-F-3,7,2,Other_Field_Data|Reports_General
15/9-F-15S,6,1,WITSML_Realtime
15/9-F-8,6,2,Other_Field_Data|Reports_General
15/9-F-6,1,1,Other_Field_Data
