id,path,name,type,category_raw,ext,bucket,well,tags,event_key,record_id
dbc5ace35ce4b5f9e43d5fd18740f7a117354279,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/04.COMPOSITE/15_9-19 SR/L749AUD.ASC,L749AUD.ASC,file,well_data,asc,Well_Logs_Wireline,15/9-19SR,,l749aud,15/9-19SR|Well_Logs_Wireline|l749aud
ab792523defaff0041d8042173adef404a8aedbe,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/04.COMPOSITE/15_9-19 SR/L749CMP.LTI,L749CMP.LTI,file,well_data,lti,Well_Logs_Wireline,15/9-19SR,,l749cmp.lti,15/9-19SR|Well_Logs_Wireline|l749cmp.lti
38f564edffe9c12055e320b655e6c7d9fdf680c2,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/04.COMPOSITE/15_9-19 SR/L749CON.ASC,L749CON.ASC,file,well_data,asc,Well_Logs_Wireline,15/9-19SR,,l749con,15/9-19SR|Well_Logs_Wireline|l749con
d407bc095eb01a4272a6af8dce5e0784bdca8523,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/04.COMPOSITE/15_9-19 SR/L749HEAD.ASC,L749HEAD.ASC,file,well_data,asc,Well_Logs_Wireline,15/9-19SR,,l749head,15/9-19SR|Well_Logs_Wireline|l749head
9eead57061d10dba05bba517425d7c5ea4c219e3,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/04.COMPOSITE/15_9-19 SR/L749INFO.ASC,L749INFO.ASC,file,well_data,asc,Well_Logs_Wireline,15/9-19SR,,l749info,15/9-19SR|Well_Logs_Wireline|l749info
f839f0e1a78bbd5123b9bc524d99c6f810e78155,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/04.COMPOSITE/15_9-19 SR/read me.txt,read me.txt,file,well_data,txt,Well_Logs_Wireline,15/9-19SR,,read me.txt,15/9-19SR|Well_Logs_Wireline|read me.txt
46add2d5fc31d5cab45657496ee24e48e90d8133,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/04.COMPOSITE/15_9-19 SR/STAT1990__30-1__15-9-19_SR__COMPOSITE__1.LAS,STAT1990__30-1__15-9-19_SR__COMPOSITE__1.LAS,file,well_data,las,Well_Logs_Wireline,15/9-19SR,LAS,stat1990 30 1 15 9 19 sr composite 1.las,15/9-19SR|Well_Logs_Wireline|stat1990 30 1 15 9 19 sr composite 1.las
76be87bdae408af9eb78f618261393e42141b486,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/05.PETROPHYSICAL INTERPRETATION/15_9-19 SR/15_9-19 SR Facies.xlsx,15_9-19 SR Facies.xlsx,file,well_data,xlsx,Well_Logs_Wireline,15/9-19SR,,15 9 19 sr facies.xlsx,15/9-19SR|Well_Logs_Wireline|15 9 19 sr facies.xlsx
1a0859c30d0c7a2e684d45e9d9e12ad472d813b0,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/05.PETROPHYSICAL INTERPRETATION/15_9-19 SR/CPI/15_9-19_SR_CPI.las,15_9-19_SR_CPI.las,file,well_data,las,Well_Logs_Wireline,15/9-19SR,LAS,15 9 19 sr cpi.las,15/9-19SR|Well_Logs_Wireline|15 9 19 sr cpi.las
f23fb60ea54749a73817f0d22932cb1a8c3b5b3e,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/05.PETROPHYSICAL INTERPRETATION/15_9-19 SR/first intepretation/L749CPI.LTI,L749CPI.LTI,file,well_data,lti,Production_Logs_PLT_RST,15/9-19SR,,l749cpi.lti,15/9-19SR|Production_Logs_PLT_RST|l749cpi.lti
1114e15554dd3f94984c840f54a7fb0291ace201,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/05.PETROPHYSICAL INTERPRETATION/15_9-19 SR/first intepretation/L749NOM.ASC,L749NOM.ASC,file,well_data,asc,Production_Logs_PLT_RST,15/9-19SR,,l749nom,15/9-19SR|Production_Logs_PLT_RST|l749nom
fd493ae451b4296025e8091981a4fe68a3338114,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/06.LFP/15_9-19 SR/159-19SR_LFP.las,159-19SR_LFP.las,file,well_data,las,Well_Logs_Wireline,15/9-19SR,LAS,159 19sr lfp.las,15/9-19SR|Well_Logs_Wireline|159 19sr lfp.las
6c35f97961f22c6c0c8afc9e0c66e84ca907f3c2,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/06.LFP/15_9-19 SR/lfp_petrophysics_no_15-9-19SR.pdf,lfp_petrophysics_no_15-9-19SR.pdf,file,well_data,pdf,Well_Logs_Wireline,15/9-19SR,,lfp petrophysics no 15 9 19sr,15/9-19SR|Well_Logs_Wireline|lfp petrophysics no 15 9 19sr
5eb0f517e0876ceb2acf627c1c5c0491a328b72e,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/08.VSP_VELOCITY/15_9-19 SR/06.TIF,06.TIF,file,well_data,tif,Well_Logs_Wireline,15/9-19SR,,06.tif,15/9-19SR|Well_Logs_Wireline|06.tif
2b9ef00a3f7e974305f6469485c5e9839fdd7cf4,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/08.VSP_VELOCITY/15_9-19 SR/L749VSPCALIB.LTI,L749VSPCALIB.LTI,file,well_data,lti,Well_Logs_Wireline,15/9-19SR,,l749vspcalib.lti,15/9-19SR|Well_Logs_Wireline|l749vspcalib.lti
594ebc2f1a96bb34eba04e5931f272c88c9f53df,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/08.VSP_VELOCITY/15_9-19 SR/L749VSPCOMP1.LTI,L749VSPCOMP1.LTI,file,well_data,lti,Well_Logs_Wireline,15/9-19SR,,l749vspcomp1.lti,15/9-19SR|Well_Logs_Wireline|l749vspcomp1.lti
