id,path,name,type,category_raw,ext,bucket,well,tags,event_key,record_id
1a8bbf0ada5ac2ddead07e663d7e1294da095873,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_1.DLIS,MUD_LOG_1.DLIS,file,well_data,dlis,Well_Logs_Wireline,15/9-F-15D,DLIS,mud log 1,15/9-F-15D|Well_Logs_Wireline|mud log 1
a41c8422a2eaddd28ea2d70d4887cdee37c84180,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_1_INF_1.ASC,MUD_LOG_1_INF_1.ASC,file,well_data,asc,Well_Logs_Wireline,15/9-F-15D,,mud log 1 inf 1,15/9-F-15D|Well_Logs_Wireline|mud log 1 inf 1
a66f4e531de4ece4525f7975e8b29ea0ca0cca22,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_MD_PLOT_1.pdf,MUD_LOG_MD_PLOT_1.pdf,file,well_data,pdf,Well_Logs_Wireline,15/9-F-15D,,mud log md plot 1,15/9-F-15D|Well_Logs_Wireline|mud log md plot 1
0c7812376f0929265601912a14c764be2b17b2c0,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_MD_PLOT_2.pdf,MUD_LOG_MD_PLOT_2.pdf,file,well_data,pdf,Well_Logs_Wireline,15/9-F-15D,,mud log md plot 2,15/9-F-15D|Well_Logs_Wireline|mud log md plot 2
37d6b017a069cc61e0dd9e5c1411b32c81b057ec,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_MD_PLOT_3.pdf,MUD_LOG_MD_PLOT_3.pdf,file,well_data,pdf,Well_Logs_Wireline,15/9-F-15D,,mud log md plot 3,15/9-F-15D|Well_Logs_Wireline|mud log md plot 3
d909f63257665f6f22d5fe9f3e2d2c6b2bdc8263,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_REPORT_1.PDF,MUD_LOG_REPORT_1.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-15D,,mud log report 1,15/9-F-15D|Well_Logs_Wireline|mud log report 1
e5dddf38a4aeb243c81ebd74ae8d90032968b219,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_TVD_PLOT_1.PDF,MUD_LOG_TVD_PLOT_1.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-15D,,mud log tvd plot 1,15/9-F-15D|Well_Logs_Wireline|mud log tvd plot 1
fdc7e951baeaaed5c20e70989e3825725be027d2,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-15 D/MUD_LOG_TVD_PLOT_4.pdf,MUD_LOG_TVD_PLOT_4.pdf,file,well_data,pdf,Well_Logs_Wireline,15/9-F-15D,,mud log tvd plot 4,15/9-F-15D|Well_Logs_Wireline|mud log tvd plot 4
546a98af700fd42bee02059869a5f8f9fec02ce3,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-15 D/LOGGING_SUMMARY.ASC,LOGGING_SUMMARY.ASC,file,well_data,asc,Drilling_LWD_MWD,15/9-F-15D,,logging summary,15/9-F-15D|Drilling_LWD_MWD|logging summary
ee648e91712ce0edd32f085f70d6575de634de09,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-15 D/MWD_REPORT_1.PDF,MWD_REPORT_1.PDF,file,well_data,pdf,Drilling_LWD_MWD,15/9-F-15D,,mwd report 1,15/9-F-15D|Drilling_LWD_MWD|mwd report 1
