id,path,name,type,category_raw,ext,bucket,well,tags,event_key,record_id
1235711b109d684cd33a1eda6e4adda6e5422c03,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-9/MUD_LOG_1.LIS,MUD_LOG_1.LIS,file,well_data,lis,Well_Logs_Wireline,15/9-F-9,,mud log 1.lis,15/9-F-9|Well_Logs_Wireline|mud log 1.lis
8a2176a86e1201df01cd8c2f7fe57f0f67a55a76,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-9/MUD_LOG_1_INF_1.PDF,MUD_LOG_1_INF_1.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-9,,mud log 1 inf 1,15/9-F-9|Well_Logs_Wireline|mud log 1 inf 1
ac3872f30c9c5c86d0adec747bfa3a79ba5992ec,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-9/MUD_LOG_MD_PLOT_1.PDF,MUD_LOG_MD_PLOT_1.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-9,,mud log md plot 1,15/9-F-9|Well_Logs_Wireline|mud log md plot 1
096f88686454d5cd568a6cd12ba92941f96a272d,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-9/MUD_LOG_MD_PLOT_2.PDF,MUD_LOG_MD_PLOT_2.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-9,,mud log md plot 2,15/9-F-9|Well_Logs_Wireline|mud log md plot 2
756ea24833fa00d74219e6eb245cd878e28bfadb,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-9/MUD_LOG_MD_PLOT_3.PDF,MUD_LOG_MD_PLOT_3.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-9,,mud log md plot 3,15/9-F-9|Well_Logs_Wireline|mud log md plot 3
b1484c424a2944912049b92270f09e8c05f16753,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-9/MUD_LOG_REPORT_1.PDF,MUD_LOG_REPORT_1.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-9,,mud log report 1,15/9-F-9|Well_Logs_Wireline|mud log report 1
259bd4b5c0f5892ad2bfbb587cff9f706bd2f993,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/01.MUD_LOG/15_9-F-9/MUD_LOG_TVD_PLOT_1.PDF,MUD_LOG_TVD_PLOT_1.PDF,file,well_data,pdf,Well_Logs_Wireline,15/9-F-9,,mud log tvd plot 1,15/9-F-9|Well_Logs_Wireline|mud log tvd plot 1
b8a968a5070731a10fe42f01af6d98f8b6c8362c,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-9/LOGGING_SUMMARY_1.ASC,LOGGING_SUMMARY_1.ASC,file,well_data,asc,Drilling_LWD_MWD,15/9-F-9,,logging summary 1,15/9-F-9|Drilling_LWD_MWD|logging summary 1
f914d281a49f3b70c492b590db7f03a034c08918,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-9/MWD_REPORT_1.PDF,MWD_REPORT_1.PDF,file,well_data,pdf,Drilling_LWD_MWD,15/9-F-9,,mwd report 1,15/9-F-9|Drilling_LWD_MWD|mwd report 1
8ac824d5ce6043006fb0819bd78f565d2dcc6793,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-9/WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1.PDS,WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1.PDS,file,well_data,pds,Drilling_LWD_MWD,15/9-F-9,,wl raw bhpr gr mech md mwd plot 1.pds,15/9-F-9|Drilling_LWD_MWD|wl raw bhpr gr mech md mwd plot 1.pds
71116e7bb5ea0a615c39a3503e5b335a0ebb27b1,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-9/WL_RAW_BHPR-GR-MECH_MWD_1.LAS,WL_RAW_BHPR-GR-MECH_MWD_1.LAS,file,well_data,las,Drilling_LWD_MWD,15/9-F-9,LAS,wl raw bhpr gr mech mwd 1.las,15/9-F-9|Drilling_LWD_MWD|wl raw bhpr gr mech mwd 1.las
37d30147837a64aa76cc45ae8daf830f1b8f8ca7,dbfs:/Volumes/equinor_asa_volve_data_village/public/volve/Well_logs/02.LWD_EWL/15_9-F-9/WL_RAW_BHPR-GR-MECH_MWD_1_INF_1.ASC,WL_RAW_BHPR-GR-MECH_MWD_1_INF_1.ASC,file,well_data,asc,Drilling_LWD_MWD,15/9-F-9,,wl raw bhpr gr mech mwd 1 inf 1,15/9-F-9|Drilling_LWD_MWD|wl raw bhpr gr mech mwd 1 inf 1
